time,close
-4322768638,20.65
-4291232638,20.65
-4259869438,20.65
-4228333438,20.65
-4196711038,20.65
-4165175038,20.65
-4070480638,20.65
-4038944638,20.65
-4007408638,20.65
-3975872638,20.65
-3912714238,20.65
-3881178238,20.65
-3849642238,20.65
-3818019838,20.65
-3723411838,20.65
-3691789438,20.65
-3660253438,20.65
-3628717438,20.65
-3565559038,20.65
-3534023038,20.65
-3502487038,20.65
-3470951038,20.65
-3376256638,20.65
-3344720638,20.65
-3313098238,20.65
-3281562238,20.65
-3186867838,20.65
-3155331838,20.65
-3123795838,20.65
-3092259838,20.66
-3029101438,20.66
-2997565438,20.66
-2966029438,20.66
-2934407038,20.66
-2839799038,20.66
-2808176638,20.66
-2776640638,20.66
-2745104638,20.66
-2681946000,20.66
-2650410000,20.65
-2618874000,20.65
-2587338000,20.65
-2492643600,20.68
-2461107600,20.68
-2429485200,20.68
-2397949200,20.66
-2303254800,20.71
-2271718800,20.71
-2240182800,20.66
-2208646800,20.68
-2114038800,20.67
-2082502800,20.68
-2050880400,20.54
-2019344400,20.62
-1924650000,20.68
-1893114000,20.64
-1861578000,20.64
-1830042000,20.65
-1766883600,20.72
-1735347600,20.72
-1703811600,20.72
-1672189200,20.72
-1577581200,20.68
-1546131600,20.69
-1545958800,20.58
-1543626000,20.69
-1541206800,20.69
-1538528400,20.69
-1535767200,20.69
-1533261600,20.69
-1530669600,20.69
-1527991200,20.69
-1525312800,20.69
-1522544400,20.69
-1520038800,20.69
-1517446800,20.69
-1514595600,20.84
-1512090000,20.84
-1509670800,20.84
-1506819600,20.84
-1504404000,20.84
-1501725600,20.84
-1498960800,20.84
-1496455200,20.84
-1493776800,20.84
-1491008400,20.84
-1488502800,20.84
-1485910800,20.84
-1483232400,20.75
-1480554000,20.75
-1478134800,20.75
-1475283600,20.75
-1472868000,20.75
-1470189600,20.75
-1467424800,20.75
-1464919200,20.75
-1462068000,20.75
-1459645200,20.75
-1456966800,20.75
-1454202000,20.75
-1451696400,20.78
-1449018000,20.78
-1446339600,20.78
-1443834000,20.78
-1441245600,20.78
-1438394400,20.78
-1435975200,20.78
-1433296800,20.78
-1430618400,20.78
-1428022800,20.78
-1425171600,20.78
-1422752400,20.78
-1420074000,20.75
-1417222800,20.75
-1414803600,20.75
-1412298000,20.75
-1409709600,20.75
-1407031200,20.75
-1404439200,20.75
-1401588000,20.75
-1399082400,20.75
-1396486800,20.75
-1393635600,20.75
-1391216400,20.75
-1388538000,20.72
-1385859600,20.72
-1383440400,20.72
-1380762000,20.72
-1378000800,20.72
-1375495200,20.72
-1372903200,20.72
-1370052000,20.72
-1367546400,20.72
-1364950800,20.72
-1362272400,20.72
-1359680400,20.72
-1356829200,20.75
-1354323600,20.75
-1351904400,20.75
-1349226000,20.75
-1346464800,20.75
-1343959200,20.75
-1341367200,20.75
-1338688800,20.75
-1336010400,20.75
-1333242000,20.75
-1330736400,20.75
-1328144400,20.75
-1325293200,20.78
-1322787600,20.78
-1320282000,20.78
-1317430800,20.78
-1315015200,20.78
-1312336800,20.78
-1309572000,20.78
-1307066400,20.78
-1304215200,20.78
-1301792400,20.78
-1299114000,20.78
-1296349200,20.78
-1293843600,20.72
