time,close
1506816000,0.0211592
1506902400,0.0261516
1506988800,0.0210296
1507075200,0.02184
1507161600,0.0214827
1507248000,0.0186348
1507334400,0.0208383
1507420800,0.0211092
1507507200,0.0225413
1507593600,0.0214778
1507680000,0.0225035
1507766400,0.0265853
1507852800,0.0330946
1507939200,0.032865
1508025600,0.0302856
1508112000,0.0296522
1508198400,0.0273135
1508284800,0.0269312
1508371200,0.0269837
1508457600,0.030422
1508544000,0.0285278
1508630400,0.0278998
1508716800,0.0256915
1508803200,0.0272451
1508889600,0.0275009
1508976000,0.0272123
1509062400,0.0263235
1509148800,0.0260767
1509235200,0.0287651
1509321600,0.0285029
1509408000,0.0305037
1509494400,0.0247595
1509580800,0.0219182
1509667200,0.0227051
1509753600,0.0225649
1509840000,0.022095
1509926400,0.0220384
1510012800,0.0222227
1510099200,0.0251682
1510185600,0.0325064
1510272000,0.0275413
1510358400,0.0273459
1510444800,0.0238665
1510531200,0.0262997
1510617600,0.0260822
1510704000,0.0259587
1510790400,0.0272716
1510876800,0.02582
1510963200,0.0264965
1511049600,0.0283193
1511136000,0.0302873
1511222400,0.028484
1511308800,0.0286446
1511395200,0.027791
1511481600,0.0282256
1511568000,0.0302602
1511654400,0.0376595
1511740800,0.0502266
1511827200,0.119141
1511913600,0.0925874
1512000000,0.12443
1512086400,0.128386
1512172800,0.133731
1512259200,0.13066
1512345600,0.135602
1512432000,0.127269
1512518400,0.119382
1512604800,0.108774
1512691200,0.114997
1512777600,0.118881
1512864000,0.108952
1512950400,0.118911
1513036800,0.137576
1513123200,0.135671
1513209600,0.217646
1513296000,0.21451
1513382400,0.416759
1513468800,0.510468
1513555200,0.508051
1513641600,0.525759
1513728000,0.474867
1513814400,0.478954
1513900800,0.440247
1513987200,0.427707
1514073600,0.394238
1514160000,0.425198
1514246400,0.429678
1514332800,0.41652
1514419200,0.40811
1514505600,0.54388
1514592000,0.661886
1514678400,0.727528
1514764800,0.721925
1514851200,0.787209
1514937600,1.03806
1515024000,1.21281
1515110400,0.976537
1515196800,1.01866
1515283200,1.01626
1515369600,0.901517
1515456000,0.813555
1515542400,0.775638
1515628800,0.688634
1515715200,0.922481
1515801600,0.88669
1515888000,0.813374
1515974400,0.781228
1516060800,0.613306
1516147200,0.63542
1516233600,0.644074
1516320000,0.645853
1516406400,0.713275
1516492800,0.617194
1516579200,0.56494
1516665600,0.571638
1516752000,0.627471
1516838400,0.639392
1516924800,0.616296
1517011200,0.622543
1517097600,0.669135
1517184000,0.624073
1517270400,0.549801
1517356800,0.51882
1517443200,0.425552
1517529600,0.394645
1517616000,0.428866
1517702400,0.39757
1517788800,0.328406
1517875200,0.376101
1517961600,0.342258
1518048000,0.359442
1518134400,0.391062
1518220800,0.405983
1518307200,0.374264
1518393600,0.38677
1518480000,0.372354
1518566400,0.401321
1518652800,0.411294
1518739200,0.404989
1518825600,0.423005
1518912000,0.389525
1518998400,0.392591
1519084800,0.381364
1519171200,0.366074
1519257600,0.340807
1519344000,0.345257
1519430400,0.32414
1519516800,0.344618
1519603200,0.341468
1519689600,0.336537
1519776000,0.313537
1519862400,0.306864
