time,close
-5301335038,1.29
-5269799038,1.29
-5238263038,1.29
-5206640638,1.29
-5112032638,1.29
-5080410238,1.29
-5048874238,1.29
-5017338238,1.29
-4954179838,1.29
-4922643838,1.45
-4891107838,1.48
-4859571838,1.32
-4764877438,1.29
-4733341438,1.29
-4701719038,1.29
-4670183038,1.29
-4575488638,1.29
-4543952638,1.29
-4512416638,1.29
-4480880638,1.29
-4417722238,1.29
-4386186238,1.29
-4354650238,1.29
-4323027838,1.29
-4228419838,1.29
-4196797438,1.29
-4165261438,1.35
-4133725438,1.3
-4070567038,1.3
-4039031038,1.29
-4007495038,1.29
-3975959038,1.29
-3881264638,1.29
-3849728638,1.29
-3818106238,1.29
-3786570238,1.29
-3691875838,1.29
-3660339838,1.29
-3628803838,1.29
-3597267838,1.29
-3534109438,1.29
-3502573438,1.29
-3471037438,1.29
-3439415038,1.29
-3344807038,2.94
-3313184638,1.89
-3281648638,1.77
-3250112638,1.74
-3186954238,1.57
-3155418238,1.43
-3123882238,1.41
-3092346238,1.45
-2997651838,1.39
-2966115838,1.32
-2934493438,1.21
-2902957438,1.1
-2808263038,1.13
-2776727038,1.1
-2745191038,1.11
-2713654800,1.08
-2650496400,1.01
-2618960400,0.97
-2587424400,0.94
-2555802000,0.96
-2461194000,0.84
-2429571600,0.7
-2398035600,0.62
-2366499600,0.68
-2303341200,0.59
-2271805200,0.6
-2240269200,0.6
-2208733200,0.65
-2177197200,0.56
-2082589200,0.61
-2050966800,0.66
-2019430800,0.7
-1987894800,0.55
-1924736400,0.53
-1893200400,0.55
-1861664400,0.56
-1830128400,0.64
-1735434000,0.56
-1733014800,0.51
-1730595600,0.51
-1727917200,0.51
-1725152400,0.51
-1722646800,0.51
-1720054800,0.51
-1717203600,0.51
-1714698000,0.51
-1712106000,0.51
-1709427600,0.51
-1706835600,0.51
-1703984400,0.67
-1701478800,0.67
-1698973200,0.67
-1696122000,0.67
-1693702800,0.67
-1691024400,0.67
-1688259600,0.67
-1685754000,0.67
-1683075600,0.67
-1680310800,0.67
-1677805200,0.67
-1675213200,0.67
-1672534800,0.84
-1669856400,0.84
-1667437200,0.84
-1664586000,0.84
-1662166800,0.84
-1659488400,0.84
-1656723600,0.84
-1654218000,0.84
-1651366800,0.84
-1648947600,0.84
-1646269200,0.84
-1643504400,0.84
-1640998800,0.98
-1638320400,0.98
-1635901200,0.98
-1633226400,0.98
-1630634400,0.98
-1627783200,0.98
-1625364000,0.98
-1622685600,0.98
-1619834400,0.98
-1617415200,0.98
-1614733200,0.98
-1611968400,0.98
-1609462800,1.13
-1606611600,1.13
-1604192400,1.13
-1601690400,1.13
-1599098400,1.13
-1596247200,1.13
-1593828000,1.13
-1591149600,1.13
-1588471200,1.13
-1585879200,1.13
-1583024400,1.13
-1580605200,1.13
-1577926800,1.03
-1575075600,1.03
-1572742800,1.03
-1570068000,1.03
-1567303200,1.03
-1564797600,1.03
-1562205600,1.03
-1559354400,1.03
-1556848800,1.03
-1554256800,1.03
-1551574800,1.03
-1548982800,1.03
-1546131600,0.63
-1543626000,0.63
-1541206800,0.63
-1538528400,0.63
-1535767200,0.63
-1533261600,0.63
-1530669600,0.63
-1527991200,0.63
-1525312800,0.63
-1522544400,0.63
-1520038800,0.63
-1517446800,0.63
-1514595600,0.68
-1512090000,0.68
-1509670800,0.68
-1506819600,0.68
-1504404000,0.68
-1501725600,0.68
-1498960800,0.68
-1496455200,0.68
-1493776800,0.68
-1491008400,0.68
-1488502800,0.68
-1485910800,0.68
-1483232400,0.65
-1480554000,0.65
-1478134800,0.65
-1475283600,0.65
-1472868000,0.65
